order_id,customer_id,order_date,product,category,price,quantity,city,total_amount,year,month,day
1,101,2025-01-01,Laptop,Electronics,50000.0,1.0,Kolkata,50000.0,2025,1,1
2,102,2025-01-01,Phone,Electronics,20000.0,1.0,Asansol,20000.0,2025,1,1
3,103,2025-01-02,Shoes,Fashion,2000.0,2.0,Durgapur,4000.0,2025,1,2
4,101,2025-01-02,T-shirt,Fashion,800.0,3.0,Kolkata,2400.0,2025,1,2
5,104,2025-01-03,Headphones,Electronics,16305.263157894737,1.0,Asansol,16305.263157894737,2025,1,3
6,105,2025-01-03,Laptop,Electronics,50000.0,1.0,Kolkata,50000.0,2025,1,3
7,106,2025-01-04,Watch,Fashion,1500.0,1.0,Durgapur,1500.0,2025,1,4
8,102,2025-01-04,Phone,Electronics,20000.0,1.0,Asansol,20000.0,2025,1,4
9,107,2025-01-05,Tablet,Electronics,15000.0,1.0,Kolkata,15000.0,2025,1,5
10,108,2025-01-05,Jeans,Fashion,1800.0,2.0,Durgapur,3600.0,2025,1,5
11,109,2025-01-06,TV,Electronics,40000.0,1.0,Kolkata,40000.0,2025,1,6
12,110,2025-01-06,Shoes,Fashion,2200.0,1.0,Asansol,2200.0,2025,1,6
13,111,2025-01-07,Microwave,Electronics,12000.0,1.0,Durgapur,12000.0,2025,1,7
14,112,2025-01-07,T-shirt,Fashion,900.0,2.0,Kolkata,1800.0,2025,1,7
15,113,2025-01-08,Phone,Electronics,21000.0,1.0,Asansol,21000.0,2025,1,8
16,114,2025-01-08,Watch,Fashion,1600.0,1.0,Durgapur,1600.0,2025,1,8
17,115,2025-01-09,Laptop,Electronics,52000.0,1.0,Kolkata,52000.0,2025,1,9
18,116,2025-01-09,Headphones,Electronics,3000.0,2.0,Asansol,6000.0,2025,1,9
19,117,2025-01-10,Jeans,Fashion,2000.0,1.0,Durgapur,2000.0,2025,1,10
20,118,2025-01-10,Tablet,Electronics,14000.0,1.0,Kolkata,14000.0,2025,1,10
