order_id,customer_id,order_date,product,category,price,quantity,city
1,101,2025-01-01,Laptop,Electronics,50000,1,Kolkata
2,102,2025-01-01,Phone,Electronics,20000,1,Asansol
3,103,2025-01-02,Shoes,Fashion,2000,2,Durgapur
4,101,2025-01-02,T-shirt,Fashion,800,3,Kolkata
5,104,2025-01-03,Headphones,Electronics,,1,Asansol
6,105,2025-01-03,Laptop,Electronics,50000,,Kolkata
7,106,2025-01-04,Watch,Fashion,1500,1,Durgapur
8,102,2025-01-04,Phone,Electronics,20000,1,Asansol
9,107,2025-01-05,Tablet,Electronics,15000,1,Kolkata
10,108,2025-01-05,Jeans,Fashion,1800,2,Durgapur
11,109,2025-01-06,TV,Electronics,40000,1,Kolkata
12,110,2025-01-06,Shoes,Fashion,2200,1,Asansol
13,111,2025-01-07,Microwave,Electronics,12000,1,Durgapur
14,112,2025-01-07,T-shirt,Fashion,900,2,Kolkata
15,113,2025-01-08,Phone,Electronics,21000,1,Asansol
16,114,2025-01-08,Watch,Fashion,1600,1,Durgapur
17,115,2025-01-09,Laptop,Electronics,52000,1,Kolkata
18,116,2025-01-09,Headphones,Electronics,3000,2,Asansol
19,117,2025-01-10,Jeans,Fashion,2000,1,Durgapur
20,118,2025-01-10,Tablet,Electronics,14000,1,Kolkata
